EventName,StateName,CountyName,Hazard,StartDate,EndDate,Month,Quarter,Year,Duration_Days,Location,County_FIPS,Remarks,Fatalities,FatalitiesPerCapita,Fatalities_Duration,Injuries,InjuriesPerCapita,Injuries_Duration,PropertyDmg,PropertyDmg(ADJ),PropertyDmgPerCapita,PropertyDmgDuration
Hurricane 2022 Ian,FLORIDA,Manatee, Hurricane/Tropical Storm,9/28/22,9/28/22,9,3,2022,1,,12081,NCDC_Hurricane,4,0,1,0,0,0,1000000000,1064101469,2479.45,1
Hurricane 2020 Sally,FLORIDA,Marion," Severe Storm/Thunder Storm, Wind",9/12/20,9/12/20,9,3,2020,1,,12083,NCDC_Thunderstorm Wind,0,0,0,0,0,0,5000,5742.8,0.02,1
Hurricane 2020 Sally,FLORIDA,Marion," Severe Storm/Thunder Storm, Wind",9/12/20,9/12/20,9,3,2020,1,,12083,NCDC_Thunderstorm Wind,0,0,0,0,0,0,500,574.28,0,1
Hurricane 2016 Matthew,FLORIDA,Martin, Hurricane/Tropical Storm,10/6/16,10/7/16,10,4,2016,2,,12085,NCDC_Tropical Storm,0,0,0,0,0,0,175000,215594.49,1.36,2
Hurricane 2017 Irma,FLORIDA,Martin, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12085,NCDC_Tropical Storm,0,0,0,0,0,0,4300000,5190005.12,32.48,2
Hurricane 2016 Matthew,FLORIDA,Miami-Dade,Hurricane/Tropical Storm,10/6/16,10/6/16,10,4,2016,1,,12086,NCDC_Tropical Depression,0,0,0,0,0,0,300000,369590.55,0.14,1
Hurricane 2016 Matthew,FLORIDA,Miami-Dade,Coastal,10/6/16,10/7/16,10,4,2016,2,,12086,NCDC_High Surf,0,0,0,0,0,0,300000,369590.55,0.14,2
Hurricane 2016 Matthew,FLORIDA,Miami-Dade,Coastal,10/6/16,10/7/16,10,4,2016,2,,12086,NCDC_High Surf,0,0,0,0,0,0,300000,369590.55,0.14,2
Hurricane 2016 Matthew,FLORIDA,Miami-Dade,Hurricane/Tropical Storm,10/6/16,10/6/16,10,4,2016,1,,12086,NCDC_Tropical Depression,0,0,0,0,0,0,300000,369590.55,0.14,1
Hurricane 2017 Irma,FLORIDA,Miami-Dade, Hurricane/Tropical Storm,9/9/17,9/10/17,9,3,2017,2,Metropolitan Miami-Dade,12086,Triopical Storm,5,0,2,0,0,0,0,0,0,0
